account,amount
5DcVRRVW6ADuHVzNSAiGxcPH8WS9qXoWHsUbRFQ9nprGCFYy,9.8604
5EPHEmJnDyNptmYxUbYdPjn6PNywvXd2V7QXcvDE2k65D3vr,9.6959
5D7yBPwhEbGEFXgoeCMfDkfyNAaNMtGyc3AwKa6mwv9esHUg,9.6286
5GsBbvpKEqJGbhPHHYGyCCBxTBUR7bh6aLTxpVNk1TJm5afW,9.5728
5Fnq5nwChEfQHrYjCWkKZ72NZ1MBFvU8FudiiEf4VHnDoE7o,9.5676
5CJ4kXDomLhBNJzSLofo68RAX5cNnUVAHzvbfFqSbg6todiE,9.4885
5GnxmFNz7ScNF54oWxoDQALQWHiBnpFTJPF8ndreQ7bQXcrr,9.4161
5GZ4xCvZ3KbvXSCgPM44ZkCBAFZK3dKC95AQPzPW9BuxG8iZ,9.3202
5Gbv21drmRYks5m451Fpz9zRtmthLrTcb2fQm4QjgedmpQws,9.1913
5DRb941sK9KEHgKf397cTN8KtzpS8iuy1DEDLbzJ18xFNgRs,9.1301
5GC9yErBeeQkYC1psuZsgh8jXnLZswhLX63KxrJGWmjTEZCx,9.1152
5FTtcgQTgFKES84885i2ksUHy2y6TEcfUHx5ZU3XpadoW6FB,9.0089
5HNAhV2QeMk9r6vPMfhQRqDRY27W7R2iNYr17TsEmhvoex1J,8.796
5FqJVvR95AyN7KSb1Yh29Si38bqpN9GubZR14ZBaT4YLR35z,8.7093
5CdFVCvk9Mw86mi7uPwfLnqfEBb3BpjDBhsy7urjayy4p7DU,8.6601
5H9buQsya9jGGuBSMw4a22EB5ybe7x7Md929KXGtStdqQDXR,8.5956
5DUvSoK2eMrQjrodmNAAQwx2x3BBvFPzkMYD8WMzYJiAVHGf,8.4126
5EWerHvfcpSdYuTQj2yweEjaiKNf5ZT7LZ5AKdA9CcCr7N8D,8.2992
5H44sUfpFAgu53MQ9AcdZzjq2Asuqv4QH3V4RwX6rRLTZLSA,8.2684
5F9JFa8unm5r11GNNRbprCth74rY3QjN84etjp5C53uSvEud,8.1777
5EZWbLLMDpkjmGxdNRegyEcsgjHsiV9Hdxs8x4EjUHS3oGnb,8.1705
5CSCjvqAqCE4XaMpS1zMaV9QgLzWQjyAnzgooFmt1ENDFeuJ,7.9115
5FP4Zf7ukBrBSKiqxXf5AA5xLNNAd8BQUCryQmRE12CNJsYc,7.4908
5FjNWgp9znt5wSACdxoMETFJENTZdg1f278MKae6G8gTBKy4,7.4788
5DLgbvPtVi2U3Y98BH1VwVtNzcX3Zg7vAN94nRbhEWiXHYZt,7.453
5ETtrCXbrzPdAMFm9Y94UHw5Fxb26a6qazgz4yNgVXnzmTDe,7.4456
5CcZ7SeASKA2cQ7einwGifGqNNTt8KKepsxhubTAoXZwqvgY,7.4411
5EHEUHQExVSfdAVjZxQZvPcDvaU54fjkSDyCbVL7JzVwhy8Q,7.3764
5FTDU173uB3ArEeBrW9F7fqp3QrD67akssS548uyYYgt9e2b,7.3191
5EebCmN8xQjS7MMnBi6zYMSy8uGmZZhFRBtQDEXnUpzQ6XvP,7.2905
5HBjVeQbvyqKmgkEGGjrRgEHgmdL9KzgZw2N4soVQs4wbZEt,7.2755
5DRrb2foBo8EnnnpbjjZs3Aw65RiGFtDx1xxb7FaQz9qMYBZ,7.2511
5EL8jS8JvMSHsZhydimXRDNj9a8DADqYR8ZzS9gkHVhJ1ecr,7.1918
5EnZEy2BdWthSTsZVrXBPsutMmtgQrnEVggSC5DW73FwLSP4,7.0596
5CWxnt9NBDXmTjGRb3oqZzk67TGkiUrbvosG3KJEXW3QFvRq,7.0375
5DZWJcJWGWmY3NLrG894oV4ghUH6hGnNwUbCf3nwF3P9Ncmt,7.0065
5CM6P2yk4gnPLDYKSAGchYSMDBTCT3hN4NTQrNHbuwUzRYMT,6.9758
5F6mc6dqZESqaFYmkUL4XGCsDBJ9SMsNCE3ASLwmDMA6zdfH,6.9749
5EUTvoPnVDAK2xrh4UDHCrnnzTbohZC6qtcFjeiM1ccBuUwC,6.8717
5E5CqLhNL1tDrJ29RbkupwKCKfWjTJtjq4wCoYEVqQKYtCeQ,6.8301
5HU2vdYB9qXaJi3tdLeD8hjUPEs5n8haEPcPVyc7BBZpweTf,6.7975
5FhY1TBW7grmrUZaVLH8GdyDiodRnXsyzrHiSGVLNWkJkgat,6.7846
5GuhqZEQe5yS5bb6ZPeK4EuNZaeHjjx47DxgjkVEBBtQqg2M,6.7581
5DrAqj7iwTYpWaNkDAZXCBbRhNyCe94Ke3PBY5ndRCK1qJgd,6.7473
5D4hRy3RwjKqiQjBWmDfpgiwC8cTeUru7CsMUkSwmTusbPRp,6.6719
5FF26MuYBjrgkzfAEwENVxRN4Q5FUAPZiEg8TCu9PARmfQoF,6.6393
5GYhG4D5d8pmevc73M4DaTP4noUtC5EjurfdSfcMTzv2GSr2,6.6261
5DoXGL1Vejra9Gszf6Fn7c4gx7cxR6GyEaUKFhoPn1MW3nen,6.5614
5DsgoyrzDw7ZYAguZwnA2enscnnxP1KsVzmzZJbyNEALiVVs,6.5447
5DwNotaVN5bSrdPV3mPLs33hi5s7XD24QtehTvPFyqLtiysE,6.52
5HDre61ks2E3nqGYc9kwvn1kYe3Ziq65tYNxBNQuxFbyyfdo,6.5027
5CUdscRDb1MPVRhyRB4DDgsMhh77w1F3KsHKM8iZPREZVNTi,6.325
5Gy3jyDcyVhdp67ymaftJQrxfGA2aZKQVmvobwHShPgqdsxU,6.1824
5H9UsskfkAD8wRCnoUcAzE6mx9HwA6KDXfwYYmLFj9s1GWFZ,6.056
5FxPT2jHHb7HWtfhwSJ5amhK1dATZ5snYEmwvdHFEKLwZSm9,5.8984
5ERRuvfJS5bZStKyqYsGbj6rN5fUzecGCT6HgFUyJ4SwG7o7,5.6727
5DAhvd1GoUt64Za4KaJDvXzCZExcCyvG6SCWRKpFzZjVgord,5.6346
5H1ZbPNN44gRsqEAvW1uMD32LckwBAcY8UMrEPz6EsRBQKjj,5.4995
5GQWeoVKnG5gxSYzUTpcNvfUQg9BubdTDHPZmgjRRAGe2JQQ,5.3759
D2uZ3knfbfaJttF7V7MVzGRLKK5K3iHcoFai7EJ7VPLKvcW,5.3207
5HppHPUoNEZ6BMyutCWGk1UzL1yL18NrfQuS33jG4i4aeL4e,5.2513
5HNfX6wPCJJncJy4cf3CtLSWgBKfrNpanZZqMXvyUFDokZDi,5.2055
5GsmgkHZr4AQ1zrbUUcYQj4dbS13Vvsb9gCoyuPB7fJoRBNx,5.1481
5CafrrkWgwfTc21XbDm4zcAooHo4eazBV7bQhY1fPE84VXNC,5.081
5Eh4S6qsX3BbNRCKA5jw6SaXJGMBjEnznmYysqQfTLbgyrHy,5.0505
5E2GNwyw9QLjrCZ9R1WsPGSrVEisKrx9sR7rvvMytrrEkeXX,5.0075
5Cm224agNaRVjCBzdFNDPu9EAFG2xxXSyqZGYy6fd3ekZ5fd,4.9859
5EjZZoFEnyC22tuC988fcZGPh4Ab5yy4fbaQQzrLQunsAnrG,4.9794
5G48ekpPqoRiqfvwigQy6TTRuddE4V9yauEkWKtDnvGVxPLY,4.976
5ELUftyqe1WWQ2Smt6LfqGxgQLzLPi6GazQUSprL53337Cy1,4.9433
5FeE6YN5eYdCQsiM6uempBdXGrrwqEMgrddiT69MbuFoJBMu,4.8096
5GN2JtsaaNp6HKSKW4oRHNkQnaBL61U688YLrzjPorQaLcoL,4.8081
5Ci6pAFFf62VZvy1Th8D5Mn8nSksjkD4nonzGv8mJEoLYssA,4.7447
